Date,Amount,lag_1,lag_2,lag_3,rolling_mean_7,rolling_std_7
2023-12-02,260.0,90.0,60.0,160.0,381.42857142857144,634.6239981655427
2023-12-02,300.0,260.0,90.0,60.0,381.42857142857144,634.6239981655427
2023-12-02,90.0,300.0,260.0,90.0,394.2857142857143,626.4678002594422
2023-12-02,160.0,90.0,300.0,260.0,160.0,90.73771725877339
2023-12-02,60.0,160.0,90.0,300.0,145.71428571428572,98.2949884882466
2023-12-02,130.0,60.0,160.0,90.0,155.71428571428572,91.44345117013317
2023-12-02,50.0,130.0,60.0,160.0,150.0,97.29679679550831
2023-12-02,30.0,50.0,130.0,60.0,117.14285714285714,92.68482179125107
2023-12-02,300.0,30.0,50.0,130.0,117.14285714285714,92.68482179125107
2023-12-02,50.0,300.0,30.0,50.0,111.42857142857143,95.81728644118535
2023-12-02,130.0,50.0,300.0,30.0,107.14285714285714,93.9351346611549
2023-12-02,30.0,130.0,50.0,300.0,102.85714285714286,97.07630773679696
2023-12-02,90.0,30.0,130.0,50.0,97.14285714285714,96.38711630957725
2023-12-02,160.0,90.0,30.0,130.0,112.85714285714286,96.38711630957722
2023-12-02,60.0,160.0,90.0,30.0,117.14285714285714,92.68482179125105
2023-12-02,1800.0,60.0,160.0,90.0,331.42857142857144,649.1899714626056
2023-12-02,250.0,1800.0,60.0,160.0,360.0,639.0618123468181
2023-12-01,130.0,250.0,1800.0,60.0,360.0,639.0618123468181
2023-12-01,160.0,130.0,250.0,1800.0,378.57142857142856,629.6938031410865
2023-12-01,90.0,160.0,130.0,250.0,378.57142857142856,629.6938031410865
2023-12-01,130.0,90.0,160.0,130.0,374.2857142857143,631.5287574042619
2023-12-01,220.0,130.0,90.0,160.0,397.14285714285717,621.0666707558934
2023-12-01,250.0,220.0,130.0,90.0,175.71428571428572,64.25396041156698
2023-12-01,50.0,250.0,220.0,130.0,147.14285714285714,69.93193970194156
2023-12-01,200.0,50.0,250.0,220.0,157.14285714285714,72.04495950776838
2023-12-01,300.0,200.0,50.0,250.0,177.14285714285714,90.1321780709271
2023-12-01,230.0,300.0,200.0,50.0,197.14285714285714,82.80786712108117
2023-12-01,50.0,230.0,300.0,200.0,185.71428571428572,97.78499251881418
2023-12-01,60.0,50.0,230.0,300.0,162.85714285714286,106.72617387724523
2023-12-01,160.0,60.0,50.0,230.0,150.0,99.666109251506
2023-12-01,90.0,160.0,60.0,50.0,155.71428571428572,93.96047801374375
2023-12-01,350.0,90.0,160.0,60.0,177.14285714285714,119.40327825123833
2023-12-01,160.0,350.0,90.0,160.0,157.14285714285714,106.4133897768947
2023-12-01,130.0,160.0,350.0,90.0,142.85714285714286,101.60614904526852
